"","real","id","item_num","treatment","control","realxtreatment","realxcontrol","demrep","attentive","avg_fake","avg_real","discernment","rating","age","gender","hispanic","social_conserv","covid_concern_1","sciknow","mms","crt_acc","study"
"1463",0,1463,1,0,1,0,0,0,1,0.61333332,0.50666666,-0.306666672,0.6,0.9,1,0,2,1.24,0.647058824,4.5,0.333333333,0
"1464",0,1464,1,0,1,0,0,0,0,0.85333338,0.83999996,-0.213333334,0.8,0.96,1,0,2,1.9,0.411764706,6.1,0,0
"1465",0,1465,1,0,1,0,0,0,1,0.70666666,0.6666667,-0.24,0.6,0.8,0,1,2,1.42,0.647058824,5.3,0.166666667,0
"1466",0,1466,1,0,1,0,0,1,1,0.10666666,0.16,-0.146666664,0,1.18,1,0,4,1.66,0.705882353,3.4,0.5,0
"1467",0,1467,1,1,0,0,0,0,0,0.50666666,0.78666668,0.08,0.4,0.94,1,0,1,2,0.764705882,6.9,0.166666667,0
"1468",0,1468,1,1,0,0,0,0,1,0.01333334,0,-0.213333334,0,1.48,1,0,3,1.8,0.470588235,5.3,0.166666667,0
"1469",0,1469,1,0,1,0,0,0,1,0,0.01333334,-0.186666666,0,0.48,1,1,1,0.6,0.411764706,5.5,0.5,0
"1470",0,1470,1,1,0,0,0,1,1,0.42666668,0.46666666,-0.16,0.6,1.24,1,0,5,0.24,0.588235294,4,0.5,0
"1471",0,1471,1,1,0,0,0,0,1,0.05333334,0.10666666,-0.146666664,0,1.12,0,0,1,1.5,0.764705882,4.6,0.666666667,0
"1472",0,1472,1,0,1,0,0,0,1,0.36,0.38666668,-0.173333332,0.6,1.14,1,0,2,1.46,0.823529412,4.3,0.833333333,0
"1473",0,1473,1,0,1,0,0,0,1,0.89333334,0.8666667,-0.226666668,0.8,0.9,1,0,3,1.7,0.764705882,5.6,0.666666667,0
"1474",0,1474,1,0,1,0,0,1,0,0.76000004,0.62666664,-0.333333338,1,0.98,1,0,3,2,0.941176471,5.8,0.166666667,0
"1475",0,1475,1,1,0,0,0,0,1,0.13333332,0.36,0.02666666,0,0.64,0,0,2,1.6,0.705882353,4.8,0.666666667,0
"1476",0,1476,1,0,1,0,0,0,1,0.06666668,0.25333334,-0.013333332,0.2,0.48,0,0,2,1.2,0.705882353,4,0.666666667,0
"1477",0,1477,1,0,1,0,0,1,1,0.51999998,0.61333332,-0.106666666,0,1.14,0,0,4,1.24,0.176470588,4.2,0.5,0
"1478",0,1478,1,0,1,0,0,0,1,0.04,0.12,-0.119999998,0,0.96,0,0,2,1.52,0.529411765,5.1,0.166666667,0
"1479",0,1479,1,0,1,0,0,0,1,0.04,0,-0.24,0,0.78,1,1,3,1.6,0.705882353,4.6,0,0
"1480",0,1480,1,0,1,0,0,0,1,0.46666666,0.82666664,0.16,0.6,1.12,0,0,3,2,0.411764706,6.3,0.166666667,0
"1481",0,1481,1,0,1,0,0,0,1,0.78666668,0.69333334,-0.293333334,1,1.06,1,0,4,1.84,0.352941176,5.6,0.166666667,0
"1482",0,1482,1,1,0,0,0,0,1,0.63999996,0.58666668,-0.253333336,0.6,0.48,0,0,1,1.8,0.411764706,5.9,0,0
"1483",0,1483,1,0,1,0,0,0,1,0.69333334,0.6666667,-0.226666668,0.8,0.5,0,0,3,1.28,0.764705882,4.2,0.5,0
"1484",0,1484,1,0,1,0,0,0,1,0.41333332,0.38666668,-0.226666668,0.4,0.74,1,0,2,1.4,0.411764706,4,0.166666667,0
"1485",0,1485,1,1,0,0,0,1,1,0.13333332,0.62666664,0.29333334,0,0.52,1,0,2,1.7,0.764705882,4.6,0.833333333,0
"1486",0,1486,1,0,1,0,0,0,1,0,0,-0.2,0,1.06,1,0,3,1.8,0.235294118,3.9,0.166666667,0
"1487",0,1487,1,0,1,0,0,0,1,0.38666668,0.57333332,-0.013333332,0,1.32,1,0,1,1.28,0.705882353,3.6,0.5,0
"1488",0,1488,1,0,1,0,0,0,1,0.33333334,0.49333334,-0.039999998,1,0.84,1,0,1,1.96,0.705882353,5.8,0.166666667,0
"1489",0,1489,1,1,0,0,0,1,0,0.33333334,0.36,-0.173333332,0,0.4,1,0,2,0.4,0.588235294,2.3,0,0
"1490",0,1490,1,0,1,0,0,1,0,0.9333333,0.96000004,-0.173333332,1,0.9,1,0,1,1.4,0.647058824,6.6,0,0
"1491",0,1491,1,1,0,0,0,1,1,0.65333338,0.53333334,-0.320000004,0.6,0.48,1,0,5,1.52,0.764705882,5.5,0.166666667,0
"1492",0,1492,1,0,1,0,0,0,1,0.38666668,0.44,-0.146666664,0.4,0.5,1,0,1,2,0.294117647,5.3,0,0
"1493",0,1493,1,1,0,0,0,1,1,0.50666666,0.4,-0.306666672,0.4,1.24,1,0,4,1.62,0.529411765,4.3,0,0
"1494",0,1494,1,1,0,0,0,0,1,0.18666666,0.57333332,0.18666666,0.2,0.5,1,0,1,1.98,0.529411765,5.5,0,0
"1495",0,1495,1,0,1,0,0,0,1,0.31999998,0.44,-0.079999996,0.2,1.44,1,0,2,1.86,0.882352941,5.8,0.333333333,0
"1496",0,1496,1,1,0,0,0,1,0,0.02666666,0.01333334,-0.213333334,0,1.32,0,0,5,0.28,0.647058824,3.6,0,0
"1497",0,1497,1,1,0,0,0,0,1,0.17333334,0.51999998,0.14666666,0.4,0.38,0,1,1,1.7,0.529411765,4,0.5,0
"1498",0,1498,1,0,1,0,0,1,1,0,0.05333334,-0.146666664,0,1.32,0,0,5,2,0.352941176,6.2,0.166666667,0
"1499",0,1499,1,1,0,0,0,0,1,0.62666664,0.62666664,-0.2,0.8,1.36,1,0,3,1.96,0.823529412,4.3,0.166666667,0
"1500",0,1500,1,1,0,0,0,0,1,0.41333332,0.45333334,-0.16,0.4,1.36,0,0,4,1.54,0.823529412,4,0.166666667,0
"1501",0,1501,1,0,1,0,0,0,0,0.94666662,0.9333333,-0.213333334,0.8,0.4,1,0,1,1.64,0.705882353,5.1,0.166666667,0
"1502",0,1502,1,1,0,0,0,0,1,0.41333332,0.62666664,0.01333334,0,1.08,0,0,3,2,0.117647059,5.4,0,0
"1503",0,1503,1,1,0,0,0,0,1,0.6666667,0.58666668,-0.280000002,0.8,1.34,0,0,2,2,0.470588235,5.4,0.333333333,0
"1504",0,1504,1,0,1,0,0,0,1,0.08,0.30666666,0.02666666,0.2,0.7,0,0,1,1.2,0.764705882,4.6,0.5,0
"1505",0,1505,1,1,0,0,0,0,1,0.14666666,0.08,-0.266666668,0,1.34,1,0,3,1.86,0.529411765,3.6,0.333333333,0
"1506",0,1506,1,1,0,0,0,0,1,0,0,-0.2,0,1.04,0,0,3,0.4,0.235294118,4,0.5,0
"1507",0,1507,1,0,1,0,0,0,1,0.77333336,0.70666666,-0.266666668,0.6,0.8,0,0,2,1.62,0.411764706,5,0,0
"1508",0,1508,1,1,0,0,0,0,1,0.63999996,0.53333334,-0.306666672,0.6,0.58,0,0,3,1.24,0.705882353,5,0.166666667,0
"1509",0,1509,1,0,1,0,0,0,0,0.8,0.78666668,-0.213333334,0.8,0.64,1,0,2,1.66,0.588235294,5.6,0.166666667,0
"1510",0,1510,1,1,0,0,0,0,1,0.4,0.4,-0.2,0.6,1.24,1,0,4,1.3,0.823529412,3.9,0.666666667,0
"1511",0,1511,1,0,1,0,0,1,1,0.58666668,0.34666666,-0.44,0.2,0.76,1,0,4,1.22,0.529411765,6,0.166666667,0
"1512",0,1512,1,0,1,0,0,0,1,0.06666668,0.38666668,0.12,0.2,1.24,0,0,3,2,0.823529412,4.9,0.833333333,0
"1513",0,1513,1,0,1,0,0,0,0,1,0.97333336,-0.226666668,1,1,0,0,1,1.96,0.470588235,6.3,0.333333333,0
"1514",0,1514,1,0,1,0,0,1,1,0.33333334,0.6,0.06666668,0.4,0.98,1,0,4,1.52,1,4.3,0.166666667,0
"1515",0,1515,1,0,1,0,0,1,1,0.8666667,0.91999998,-0.146666664,0.8,0.7,1,1,5,1.76,0.529411765,5.9,0,0
"1516",0,1516,1,1,0,0,0,0,1,0.38666668,0.34666666,-0.24,0.4,0.38,0,0,3,0.98,0.352941176,3.5,0.5,0
"1517",0,1517,1,0,1,0,0,0,1,0.41333332,0.56,-0.05333333,0.6,1.04,0,1,2,1.6,0.705882353,3.5,0.333333333,0
"1518",0,1518,1,0,1,0,0,0,1,0.38666668,0.56,-0.026666666,0.2,0.48,1,0,3,1,0.235294118,3.1,0.166666667,0
"1519",0,1519,1,1,0,0,0,1,1,0.74666662,0.70666666,-0.24,0.8,1.38,1,0,5,1.1,0.764705882,4.4,0.333333333,0
"1520",0,1520,1,0,1,0,0,0,0,0.45333334,0.57333332,-0.079999996,0.6,0.96,1,0,4,1.82,0.705882353,5,0.666666667,0
"1521",0,1521,1,0,1,0,0,1,1,0.01333334,0.01333334,-0.2,0,1.06,1,0,4,1.7,0.529411765,4.3,0,0
