"","real","id","item_num","treatment","control","realxtreatment","realxcontrol","demrep","attentive","avg_fake","avg_real","discernment","rating","age","gender","hispanic","social_conserv","covid_concern_1","sciknow","mms","crt_acc","study"
"220",0,220,1,1,0,0,0,0,1,0.160000002666667,0.666666675333333,0.506666672666667,0.40000001,1.32,1,0,2,1.22,0,3.6,0.666666666666667,1
"221",0,221,1,1,0,0,0,0,1,0.04,0.120000002,0.080000002,0,1.22,1,0,3,1.6,0,3.2,0.333333333333333,1
"222",0,222,1,0,1,0,0,1,1,0,0,0,0,1.34,0,0,3,0.56,1,2.3,0.666666666666667,1
"223",0,223,1,1,0,0,0,0,1,0.093333334,0.226666669333333,0.133333335333333,0,1.14,1,0,3,1.1,0,3.7,0.166666666666667,1
"224",0,224,1,0,1,0,0,0,1,0.0666666686666667,0.04,-0.0266666686666667,0,1.3,1,0,1,1.6,0,2.8,1,1
"225",0,225,1,0,1,0,0,1,1,0.0666666686666667,0.106666668666667,0.04,0,1.24,1,0,5,0.4,1,1.8,0.666666666666667,1
"226",0,226,1,0,1,0,0,1,1,0.280000004666667,0.0800000013333333,-0.200000003333333,0.80000001,0.42,0,1,4,0.14,1,3.4,1,1
"227",0,227,1,0,1,0,0,1,1,0.173333338666667,0.360000004666667,0.186666666,0,1.26,0,0,3,0.4,0.531141504789032,5.7,0.333333333333333,1
"228",0,228,1,0,1,0,0,1,1,0,0,0,0,1.24,0,0,5,0.2,1,4.5,1,1
"229",0,229,1,0,1,0,0,1,0,0.360000005333333,0.226666671333333,-0.133333334,0.60000002,0.66,0,0,3,1.26,0.531141504789032,5.7,0.333333333333333,1
"230",0,230,1,1,0,0,0,0,1,0.240000004,0.426666678,0.186666674,0.60000002,0.54,1,0,3,1.2,0,3.3,0.5,1
"231",0,231,1,0,1,0,0,1,0,0.373333339333333,0.373333342,2.66666666526305e-09,0,1.34,1,0,4,1.4,1,2.4,0.166666666666667,1
"232",0,232,1,0,1,0,0,0,1,0.213333335333333,0.240000002666667,0.0266666673333333,0.40000001,0.54,0,1,3,0,0,3.8,0.666666666666667,1
"233",0,233,1,1,0,0,0,0,1,0.36000001,0.360000008,-1.99999999894729e-09,0,0.54,0,0,2,1.3,0,3.1,0.833333333333333,1
"234",0,234,1,0,1,0,0,0.463633865839777,0,0.866666669333333,0.973333334666667,0.106666665333333,0.2,0.46,0,0,3,0.6,0.463633865839777,5.2,0.333333333333333,1
"235",0,235,1,1,0,0,0,0,0,0.720000008666667,0.773333344666667,0.053333336,0.80000001,0.7,1,0,1,1.42,0,5.1,0.166666666666667,1
"236",0,236,1,1,0,0,0,0,1,0,0,0,0,0.82,0,0,3,0.4,0,2.4,1,1
"237",0,237,1,1,0,0,0,0,1,0.533333337333333,0.853333335333333,0.319999998,0.80000001,1.44,1,0,4,1.84,0,5,0.333333333333333,1
"238",0,238,1,1,0,0,0,1,1,0.333333339333333,0.173333336666667,-0.160000002666667,0,1.44,0,0,5,0,1,3.6,0.666666666666667,1
"239",0,239,1,1,0,0,0,0,1,0.626666682666667,0.746666679333333,0.119999996666667,0.60000002,0.66,0,0,3,1.58,0,5.3,0.166666666666667,1
