"","datacollection","standard_condition","standard_org","standard_perk","mreselfish","moreresp","moreupstan","orgbintere","investdonate","respleader","hirepres","mreselfish_re","standard_evalu_4items","standard_evalu_5items","standard_evalu_7items","standard_organization","standard_compensation","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"37",1,4,1,1,2,5,5,6,6,3,3,6,5.5,5.6,4.85714285714286,1,1,4,2,1995,187,19,1,6,"0",2,"St. Paul","55106",1,"600,000",""
"38",1,5,1,2,5,3,3,2,1,3,2,3,2.75,2.4,2.42857142857143,1,2,4,2,1993,187,21,1,4,"1",2,"Elmhurst","60126",1,"",""
"39",1,6,1,3,4,4,3,4,5,2,5,4,3.75,4,3.85714285714286,1,3,4,2,1994,187,20,1,5,"0",2,"St. Paul","55104",1,"100000",""
"40",1,5,1,2,6,2,2,3,2,3,1,2,2.25,2.2,2.14285714285714,1,2,5,1,1994,187,20,1,5,"1",1,"Woodbury","55129",1,"100,000",""
"41",1,6,1,3,5,4,4,4,3,4,3,3,3.75,3.6,3.57142857142857,1,3,6,2,1995,187,20,1,5,"1",2,"St. Paul","55116",1,"250000",""
"42",1,1,0,1,3,4,4,5,5,4,5,5,4.5,4.6,4.57142857142857,0,1,6,1,1993,187,22,1,4,"0",2,"st paul","55104",1,"x",""
"43",1,6,1,3,7,4,4,2,2,2,1,1,2.75,2.6,2.28571428571429,1,3,4,1,1994,187,20,1,0,"",2,"Mahtomedi","55115",1,"200000",""
"44",1,6,1,3,7,1,1,1,2,1,2,1,1,1.2,1.28571428571429,1,3,4,2,1992,192,15,2,3,"0",2,"burnsville","55337",1,"35000",""
"45",1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,0,1,4,1,1993,185,21,2,3,"2",2,"eden prairie","555347",2,"3,100,000.00",""
"46",1,4,1,1,3,3,3,4,4,2,1,5,3.75,3.8,3.14285714285714,1,1,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"47",1,1,0,1,4,3,4,3,5,3,3,4,3.5,3.8,3.57142857142857,0,1,6,1,1993,187,21,1,5,"2",2,"St. Paul","55116",1,"200,000",""
"48",1,6,1,3,3,5,3,3,5,5,5,5,4,4.2,4.42857142857143,1,3,2,2,1993,187,21,1,5,"0",2,"St. Paul","55105",2,"130,000",""
"49",1,2,0,2,5,3,2,4,6,5,3,3,3,3.6,3.71428571428571,0,2,4,1,1994,187,20,1,6,"0",2,"Apple Valley","55124",1,"90000",""
"50",1,5,1,2,4,3,3,3,4,3,3,4,3.25,3.4,3.28571428571429,1,2,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"51",1,6,1,3,5,3,3,2,3,2,3,3,2.75,2.8,2.71428571428571,1,3,5,2,1993,187,21,1,5,"0",2,"Dubuque","52003",1,"$500,000",""
"52",1,4,1,1,4,4,4,4,3,2,4,4,4,3.8,3.57142857142857,1,1,6,1,1990,187,24,1,5,"1",2,"Hanover","55341",1,">100000",""
"53",1,6,1,3,6,4,5,4,4,5,4,2,3.75,3.8,4,1,3,2,2,1993,187,21,1,5,"1",2,"Lakeville","55044",1,"325,000",""
"54",1,6,1,3,6,2,3,1,2,1,1,2,2,2,1.71428571428571,1,3,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"55",1,5,1,2,7,2,2,1,1,1,1,1,1.5,1.4,1.28571428571429,1,2,6,1,1992,187,22,1,4,"0",2,"Blaine","55449",2,"125000",""
"56",1,2,0,2,5,3,3,3,3,3,3,3,3,3,3,0,2,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"57",1,1,0,1,3,4,4,4,5,5,5,5,4.25,4.4,4.57142857142857,0,1,4,1,1993,187,21,1,4,"0",2,"st paul","55102",1,"",""
"58",1,2,0,2,6,2,2,1,1,2,1,2,1.75,1.6,1.57142857142857,0,2,3,2,1994,187,20,1,6,"1",2,"Apple Valley","55124",1,"$180,000",""
"59",1,5,1,2,5,2,2,5,3,1,2,3,3,3,2.57142857142857,1,2,3,2,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"$1000000",""
"60",1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"61",1,2,0,2,5,3,4,5,3,3,3,3,3.75,3.6,3.42857142857143,0,2,6,2,1994,187,21,4,6,"2",2,"Saint Paul","55105",1,"70,000",""
"62",1,1,0,1,4,3,4,4,6,5,5,4,3.75,4.2,4.42857142857143,0,1,4,1,1994,187,21,1,4,"0",2,"Minneapolis","55417",1,"120,000",""
"63",1,1,0,1,4,3,3,4,4,3,4,4,3.5,3.6,3.57142857142857,0,1,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",1,"30000",""
"64",1,3,0,3,7,2,2,1,1,1,1,1,1.5,1.4,1.28571428571429,0,3,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"65",1,4,1,1,4,4,4,2,3,2,2,4,3.5,3.4,3,1,1,4,2,1993,36,15,2,5,"0",2,"Saint Paul","55105",1,"50000",""
"66",1,5,1,2,4,4,4,4,3,3,3,4,4,3.8,3.57142857142857,1,2,6,2,1993,187,21,1,6,"1",2,"St.Paul","55105",1,"NA",""
"67",1,3,0,3,6,1,1,1,1,1,1,2,1.25,1.2,1.14285714285714,0,3,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"68",1,2,0,2,5,4,4,3,2,4,4,3,3.5,3.2,3.42857142857143,0,2,5,2,1992,187,22,1,0,"0",2,"saint paul","55104",1,"90000",""
"69",1,4,1,1,2,5,5,4,6,6,7,6,5,5.2,5.57142857142857,1,1,4,1,1995,187,19,1,5,"0",2,"St. Paul","55105",1,"200000",""
