"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","vignettes","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused"
"138",74,1,21,0,9,3,6,5,6,9,6.33333333333333,16,1,10,1,1,1,7,1,1
"139",149,1,20,0,9,0,3,9,6,9,6,13,0,0,0,0,0,9,0,0
"140",113,1,18,0,6,0,6,8,7,7,5.66666666666667,16,0,14,3,0,1,6,0,7
"141",158,1,18,0,9,3,9,9,9,9,8,10,2,16,3,3,1,8,4,4
"142",50,1,20,0,7,3,9,7,9,8,7.16666666666667,17,3,18,3,3,3,3,3,3
"143",70,1,19,0,9,6,4,8,6,9,7,13,3,18,4,3,3,4,5,6
"144",89,1,19,0,5,3,5,8,7,8,6,15,3,10,3,1,1,8,1,5
"145",40,1,21,0,1,3,5,0,4,2,2.5,3,0,7,0,2,0,0,1,1
"146",9,1,18,0,9,4,7,9,9,9,7.83333333333333,3,17,3,6,7,15,20,18,6
"147",100,1,18,0,9,1,9,3,9,9,6.66666666666667,14,2,11,9,6,7,2,8,5
"148",1,1,20,0,8,3,8,8,9,9,7.5,13,3,12,8,11,7,16,9,16
"149",15,1,18,0,5,3,9,7,8,9,6.83333333333333,11,1,10,0,1,0,4,5,1
"150",112,1,18,0,3,2,5,8,6,4,4.66666666666667,16,1,5,2,1,1,5,2,2
"151",104,1,19,0,9,5,5,3,6,9,6.16666666666667,10,0,9,1,1,1,20,0,0
"152",107,1,18,0,9,5,7,8,6,9,7.33333333333333,14,3,11,5,5,5,9,5,8
"153",43,1,18,0,9,3,6,9,5,6,6.33333333333333,2,5,1,1,1,11,21,16,13
"154",8,1,18,0,5,3,8,8,6,9,6.5,7,17,2,15,16,16,5,16,10
"155",171,1,20,0,9,3,9,6,3,9,6.5,4,2,1,1,0,0,5,1,3
"156",115,1,19,0,7,1,8,9,8,9,7,15,11,7,16,0,3,11,13,0
"157",124,1,22,0,4,1,6,8,2,8,4.83333333333333,14,12,11,13,5,5,17,17,4
"158",186,1,18,0,9,3,8,9,7,8,7.33333333333333,3,15,1,10,7,1,18,15,9
"159",86,1,19,0,8,4,9,5,3,7,6,14,0,7,0,0,0,18,0,10
"160",51,1,18,0,9,2,5,9,6,7,6.33333333333333,13,1,10,1,3,4,1,2,1
"161",138,1,21,0,9,2,9,3,8,9,6.66666666666667,21,2,11,2,2,0,5,2,8
"162",99,1,18,0,9,0,4,3,7,3,4.33333333333333,7,1,12,7,0,2,0,4,5
"163",5,1,20,0,9,2,6,5,7,9,6.33333333333333,15,0,11,2,0,0,2,0,0
"164",17,1,20,0,3,3,6,3,9,7,5.16666666666667,20,1,10,10,1,10,6,1,1
"165",54,1,23,0,8,1,9,7,4,7,6,17,1,14,2,1,7,1,1,2
"166",69,1,22,0,9,3,5,9,9,9,7.33333333333333,8,5,5,8,2,4,16,14,5
"167",98,1,19,0,6,2,5,3,5,9,5,8,2,10,2,1,1,7,5,8
"168",66,1,20,0,5,3,7,3,6,9,5.5,14,1,14,4,1,4,9,2,2
"169",47,1,18,0,9,3,9,9,9,9,8,15,4,11,9,1,1,20,13,11
"170",205,1,21,0,9,3,1,6,9,9,6.16666666666667,2,17,9,12,4,4,20,16,16
"171",23,1,18,0,8,2,7,9,7,9,7,17,0,16,4,0,4,1,2,1
"172",131,1,18,0,8,0,5,9,7,5,5.66666666666667,20,1,15,4,1,1,1,1,4
"173",192,1,19,0,8,2,6,9,6,9,6.66666666666667,16,1,11,0,0,1,19,11,4
"174",211,1,19,0,9,5,8,3,8,9,7,3,2,11,8,3,8,6,11,11
"175",241,1,19,0,9,1,3,9,6,9,6.16666666666667,11,1,3,1,1,1,17,10,5
"176",73,1,18,0,8,2,9,9,9,9,7.66666666666667,5,16,4,17,6,8,17,17,10
"177",96,1,19,0,9,3,9,9,9,9,8,5,3,9,10,2,5,2,12,12
"178",198,1,21,0,9,3,6,9,6,5,6.33333333333333,6,4,7,7,7,17,13,10,2
"179",58,1,19,0,9,9,9,9,7,9,8.66666666666667,7,17,6,10,8,13,21,10,18
"180",3,1,19,0,9,3,6,9,9,9,7.5,5,13,5,14,14,14,10,17,19
"181",34,1,25,0,9,4,5,7,5,5,5.83333333333333,4,10,4,3,4,11,11,8,15
"182",6,1,18,0,9,5,9,7,8,9,7.83333333333333,12,6,5,3,0,1,18,16,9
"183",141,1,19,0,9,2,5,6,3,5,5,11,4,19,8,15,1,7,11,11
"184",27,1,18,0,6,3,6,5,9,8,6.16666666666667,5,0,11,1,1,1,2,2,5
"185",78,1,19,0,8,1,7,9,9,9,7.16666666666667,9,3,13,1,1,3,12,1,13
"186",122,1,22,0,9,1,9,9,3,9,6.66666666666667,20,0,21,0,0,0,0,0,0
"187",215,1,19,0,9,6,7,8,6,6,7,12,0,10,0,0,0,0,0,0
"188",120,1,19,0,1,4,9,9,9,9,6.83333333333333,8,5,11,4,3,5,18,5,11
"189",29,1,18,0,9,3,6,9,9,9,7.5,6,0,11,0,0,1,12,2,10
"190",118,1,19,0,9,4,9,9,9,9,8.16666666666667,6,1,1,2,1,3,2,2,2
"191",136,1,20,0,5,7,9,3,9,9,7,18,3,20,0,0,0,0,0,0
"192",228,1,18,0,6,1,9,0,8,3,4.5,20,0,12,0,0,0,6,0,6
"193",229,1,20,0,8,3,6,6,7,8,6.33333333333333,1,12,1,12,12,9,17,12,9
"194",191,1,18,0,9,8,9,9,9,9,8.83333333333333,12,17,2,13,5,19,15,18,13
"195",46,1,21,0,7,3,4,2,2,3,3.5,15,1,10,5,1,1,4,1,1
"196",176,1,21,1,8,1,3,2,9,7,5,16,2,10,1,1,5,1,4,1
"197",39,1,19,1,9,2,7,2,8,9,6.16666666666667,9,1,5,5,1,1,1,1,2
"198",166,1,21,1,9,6,3,6,6,3,5.5,4,15,4,10,4,16,16,17,3
"199",4,1,19,1,9,6,9,9,7,9,8.16666666666667,17,1,1,13,1,10,20,11,3
"200",157,1,20,1,9,0,9,6,7,9,6.66666666666667,6,15,11,11,6,11,6,16,16
"201",26,1,19,1,0,4,7,9,2,2,4,21,0,16,0,0,0,0,0,0
"202",134,1,18,1,9,0,1,0,9,9,4.66666666666667,5,13,8,1,1,1,1,1,5
"203",203,1,20,1,9,2,6,9,7,6,6.5,11,5,12,0,8,5,0,3,12
"204",232,1,18,1,9,1,9,3,9,9,6.66666666666667,19,1,19,1,1,1,1,1,1
"205",238,1,21,1,6,3,5,6,6,7,5.5,8,3,7,5,5,9,8,6,9
"206",54,1,19,1,4,1,5,4,6,9,4.83333333333333,17,2,10,10,9,9,15,12,12
"207",156,1,19,1,3,3,9,9,6,9,6.5,17,10,10,5,1,5,11,5,6
"208",202,1,23,1,8,2,7,9,7,9,7,11,4,8,4,4,4,17,5,5
"209",140,1,19,1,9,1,6,7,5,9,6.16666666666667,8,13,4,11,11,11,18,13,18
"210",145,1,18,1,4,0,9,5,9,9,6,16,0,17,0,0,0,0,0,0
"211",243,1,23,1,5,1,8,2,7,9,5.33333333333333,11,3,16,2,2,1,1,1,1
"212",221,1,20,1,8,0,5,9,4,7,5.5,18,0,15,3,0,3,0,0,0
"213",12,1,20,1,6,1,9,5,9,9,6.5,6,1,19,1,1,1,7,1,7
"214",38,1,20,1,1,9,9,9,9,2,6.5,7,6,6,3,2,6,6,6,8
"215",246,1,21,1,3,2,6,9,9,1,5,15,0,13,0,0,0,1,0,0
"216",160,1,18,1,8,4,8,8,7,9,7.33333333333333,14,0,10,1,0,0,1,0,0
"217",84,1,20,1,1,6,9,9,9,9,7.16666666666667,4,4,14,5,5,5,14,5,7
"218",244,1,22,1,9,6,6,9,5,7,7,3,16,1,7,6,14,18,11,5
"219",180,1,19,1,7,3,5,9,6,6,6,11,0,13,0,0,0,4,4,5
