"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused","vignette"
"66",88,0,25,1,6,3,3,5,6,5,4,17,4,6,6,5,19,16,6,4.66666666666667
"67",89,1,21,0,3,4,2,3,6,6,2,2,11,11,5,6,19,6,2,4
"68",91,1,21,1,7,4,5,4,5,7,1,4,0,1,7,3,20,4,12,5.33333333333333
"69",94,0,22,0,5,3,6,7,6,7,3,0,1,0,1,1,19,1,1,5.66666666666667
"70",95,1,18,0,7,6,7,7,6,7,4,5,5,5,7,5,16,5,4,6.66666666666667
"71",98,1,21,1,5,2,6,7,5,7,4,9,1,15,11,12,21,15,12,5.33333333333333
"72",100,0,20,1,7,2,7,7,2,7,1,1,1,6,1,2,14,4,14,5.33333333333333
"73",101,1,19,0,7,3,7,6,5,7,3,15,1,12,15,12,21,18,21,5.83333333333333
"74",102,0,22,0,6,2,4,5,5,6,2,6,0,14,14,0,21,21,21,4.66666666666667
"75",104,1,23,1,6,6,5,7,5,6,17,1,17,1,1,2,2,1,1,5.83333333333333
"76",108,1,20,0,7,3,6,7,5,7,6,4,1,5,3,1,18,7,12,5.83333333333333
"77",109,0,22,0,7,6,7,7,7,7,0,0,4,0,0,0,21,0,3,6.83333333333333
"78",115,0,21,0,3,3,7,6,5,5,4,1,0,0,0,0,18,0,9,4.83333333333333
"79",116,0,20,0,5,7,7,7,4,6,4,12,0,4,15,0,21,17,17,6
"80",117,1,19,0,7,5,5,7,5,7,3,11,2,17,10,17,21,18,5,6
"81",118,1,20,0,7,5,6,7,6,4,0,21,0,0,14,8,21,7,0,5.83333333333333
"82",120,1,18,0,6,3,6,7,6,6,2,2,3,20,3,11,19,7,6,5.66666666666667
"83",121,0,21,0,3,2,7,5,6,6,3,7,6,11,7,9,20,11,17,4.83333333333333
"84",122,1,20,0,7,4,7,7,7,5,4,0,10,7,14,9,21,9,18,6.16666666666667
"85",123,0,19,0,7,2,7,7,7,7,1,NA,1,2,1,1,20,2,8,6.16666666666667
"86",126,0,18,0,7,3,7,3,7,7,3,4,1,7,5,4,21,18,19,5.66666666666667
"87",127,0,20,1,6,4,4,6,4,7,7,2,8,2,2,2,13,4,9,5.16666666666667
