"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"76","MZA",51,0,21,0,5,3,4,1,3,3,1,1,4,3,4,3,1,4,4,2,3,4,3,1,1,1,3,1,1,5,3,3,1,1,1,4,4,1,1,1,1,1,3.66666666666667,7,4,7,1,2,1
"77","MZB",51,0,20,0,4,1,4,2,4,2,1,1,3,3,1,4,1,2,2,3,4,1,4,1,1,1,4,2,1,4,3,4,1,1,1,2,3,2,1,1,1,1,2,7,1,1,1,1,1
"78","MZC",51,0,21,0,2,4,2,2,3,1,1,1,1,1,1,3,2,4,2,3,2,2,2,2,2,2,2,2,1,4,3,2,1,1,1,2,3,1,1,1,6,4,1.5,1,3,2,1,1,1
"79","KAA",12,1,21,0,4,1,5,2,4,1,1,1,4,4,1,2,1,3,1,3,3,1,4,1,1,1,2,1,1,3,3,3,4,1,1,1,4,1,1,3,7,5,3.83333333333333,4,6,2,3,1,7
"80","KAB",12,1,20,0,4,2,1,4,2,4,1,2,2,2,4,5,1,1,4,3,3,3,4,1,2,3,1,2,4,4,1,1,4,3,4,2,1,2,2,4,8,6,5,6,6,7,5,5,1
"81","KAC",12,1,20,0,5,1,4,4,3,1,2,1,4,3,2,2,1,2,2,3,2,1,4,1,1,1,1,2,1,4,3,1,3,1,1,1,2,1,1,2,4,5,3.83333333333333,2,7,4,3,4,3
"82","KBA",13,1,24,0,4,1,3,1,4,1,1,1,3,3,1,2,1,1,2,3,4,1,5,1,1,1,2,1,1,3,1,1,3,1,1,1,3,1,1,1,6,5,2.83333333333333,1,7,1,3,1,4
"83","KBB",13,1,20,1,4,1,4,3,4,1,1,1,3,4,2,4,1,3,1,4,4,1,4,1,1,1,4,2,2,4,4,4,3,3,1,4,4,1,2,1,8,6,2.66666666666667,5,4,3,2,1,1
"84","KBC",13,1,20,0,3,1,1,1,2,1,1,1,3,1,1,4,1,2,1,2,4,2,4,1,1,1,1,1,1,4,2,1,4,1,1,1,1,1,1,2,8,6,2.66666666666667,3,4,2,1,2,4
"85","KCA",14,1,24,1,4,2,5,4,4,2,1,1,4,5,2,1,2,2,2,2,4,1,3,1,2,1,3,1,1,4,2,1,4,2,2,1,4,2,1,3,5,4,1,1,1,1,1,1,1
"86","KCB",14,1,19,0,3,2,4,4,1,1,1,1,3,2,1,5,1,1,5,3,5,4,3,3,3,3,1,2,1,4,3,1,5,3,1,1,3,1,1,3,7,10,3.33333333333333,3,7,2,1,3,4
"87","KCC",14,1,19,1,4,2,4,4,2,2,2,2,2,2,4,5,4,2,4,4,4,4,2,2,1,1,1,4,3,4,2,2,3,4,3,1,4,2,2,4,8,5,1.5,3,2,1,1,1,1
"88","KDA",15,1,24,0,4,1,4,4,3,1,1,1,4,3,2,3,1,2,4,3,4,1,4,1,3,3,2,4,1,5,3,2,4,1,1,3,4,1,2,4,7,7,3.66666666666667,4,3,4,5,3,3
"89","KDB",15,1,21,0,4,3,4,4,2,4,2,2,3,2,2,4,4,4,4,3,4,4,3,2,2,4,1,4,1,5,3,2,5,2,1,3,4,1,NA,4,7,7,5.33333333333333,7,6,6,3,4,6
"90","KDC",15,1,20,1,3,1,3,2,2,1,2,1,3,2,1,1,2,3,3,3,3,2,3,2,3,2,2,3,2,4,3,2,3,2,2,2,2,2,2,3,5,4,6,7,7,7,7,4,4
"91","KEA",16,1,20,0,3,3,3,2,3,4,1,1,2,2,3,1,1,1,2,2,2,2,4,1,1,1,5,2,2,4,1,2,4,3,2,2,3,2,1,4,7,6,6,7,7,7,7,7,1
"92","KEB",16,1,20,1,4,1,3,2,3,1,1,2,3,3,1,5,1,4,2,4,4,1,5,1,2,1,2,3,1,4,3,2,3,1,1,2,4,1,1,3,5,6,3.66666666666667,1,4,7,2,5,3
"93","KEC",16,1,22,0,4,1,4,3,NA,1,2,1,3,1,1,3,1,2,2,3,4,4,4,3,2,2,1,4,3,5,2,1,4,4,1,1,3,1,1,3,4,6,3,3,3,3,3,3,3
"94","KFA",17,1,26,0,2,1,4,2,1,2,1,1,4,3,1,1,4,3,2,4,4,2,4,1,2,2,1,1,1,4,3,2,4,3,2,2,4,2,1,4,6,5,1,1,1,1,1,1,1
"95","KFB",17,1,20,0,3,1,2,4,2,1,2,1,2,2,1,4,1,1,3,2,4,1,2,2,2,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,2,3,2.5,4,2,4,1,3,1
"96","KFC",17,1,23,1,4,1,4,2,4,1,1,1,4,4,1,3,1,3,3,4,3,3,3,2,2,2,2,2,1,4,3,3,4,1,1,3,4,2,1,3,8,7,2.16666666666667,4,2,4,1,1,1
"97","KGA",18,1,20,0,3,1,3,4,4,1,1,1,4,4,1,5,2,4,2,4,4,1,4,2,3,3,1,3,4,4,4,1,4,2,1,5,3,3,3,4,7,7,5.16666666666667,4,1,5,7,7,7
"98","KGB",18,1,20,1,4,1,2,1,3,1,1,1,4,3,2,5,2,3,2,4,5,1,3,1,3,1,1,3,2,5,3,1,5,1,1,2,4,1,1,4,9,7,4.5,7,1,5,6,7,1
"99","KGC",18,1,23,1,4,2,4,3,2,1,1,1,1,1,2,4,1,2,3,2,3,NA,2,1,1,1,2,3,1,5,3,1,4,3,1,2,3,1,1,3,7,6,7,7,7,7,7,7,7
"100","KHA",19,1,20,0,3,1,3,1,5,1,2,1,5,4,1,4,2,4,2,5,5,1,4,2,2,3,2,1,1,5,4,2,2,1,1,2,4,1,1,2,7,6,4.33333333333333,4,2,4,5,6,5
"101","KHB",19,1,21,0,3,3,3,3,3,2,2,1,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,1,3,2,3,2,1,1,2,3,2,1,1,6,6,4.33333333333333,4,3,6,4,4,5
"102","KHC",19,1,20,1,3,2,2,3,4,2,2,4,2,4,4,4,1,4,4,4,4,3,3,3,1,1,1,2,1,3,1,1,4,1,1,1,2,2,1,4,8,7,5,7,1,7,4,4,7
"103","KIA",20,1,23,0,3,1,4,2,4,1,1,1,4,4,1,2,1,4,2,3,3,2,3,1,2,1,3,3,2,4,3,2,3,2,1,2,3,1,2,1,3,5,3.5,2,1,7,3,6,2
"104","KIB",20,1,21,0,4,2,4,4,2,2,1,1,4,4,2,2,2,4,2,4,2,2,4,2,3,2,2,2,2,4,4,3,4,2,1,2,4,2,2,2,6,6,2.83333333333333,7,5,1,2,1,1
"105","KIC",20,1,20,0,4,1,3,2,2,1,1,1,4,3,1,2,1,3,2,3,5,2,3,1,1,1,2,1,1,4,3,3,3,1,1,3,4,1,1,3,8,6,4,7,7,1,1,1,7
"106","KJA",21,1,21,0,5,1,4,1,4,1,1,1,4,4,1,2,1,4,1,5,4,1,4,1,2,1,4,1,1,5,4,4,3,1,1,2,4,1,2,1,8,7,5.16666666666667,7,7,7,1,2,7
"107","KJB",21,1,22,0,4,1,4,4,3,1,2,1,4,3,2,2,1,2,1,4,2,1,4,1,2,1,2,3,1,4,4,3,2,1,1,4,5,2,3,2,6,8,2.5,2,3,3,2,2,3
"108","KJC",21,1,20,1,3,1,3,2,4,1,1,1,2,2,1,3,1,1,1,3,4,1,3,1,1,1,1,2,1,1,2,1,2,1,1,1,3,1,1,2,4,4,3.83333333333333,4,7,1,5,3,3
"109","KKA",22,1,23,1,3,1,2,2,2,1,1,1,3,2,2,2,3,3,2,4,4,2,3,1,1,1,2,1,2,5,4,3,4,1,1,3,4,1,1,2,6,8,2.33333333333333,3,2,1,5,2,1
"110","KKB",22,1,22,1,4,2,4,3,4,1,1,1,4,4,3,4,1,3,3,3,4,2,4,2,3,3,4,3,1,4,4,4,4,1,1,4,4,1,1,1,8,7,3.16666666666667,7,5,4,1,1,1
"111","KKC",22,1,20,1,4,1,3,2,3,1,1,1,3,3,1,4,1,2,3,4,3,2,4,1,1,1,2,1,1,4,3,1,2,1,1,3,3,1,1,1,4,4,1,1,1,1,1,1,1
