"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"1","AAA",1,0,19,0,3,1,1,1,3,1,1,1,4,4,1,2,1,4,1,3,1,1,4,1,3,3,2,4,1,5,4,3,1,2,1,5,3,2,2,1,1,1,3,3,4,4,3,2,2
"2","AAB",1,0,19,0,4,1,3,1,2,1,1,1,4,2,1,1,1,4,3,1,4,2,4,1,1,1,3,2,1,3,2,2,1,1,1,1,2,1,1,1,3,2,4,5,7,3,4,3,2
"3","AAC",1,0,20,0,4,1,3,2,2,1,1,1,2,2,1,1,2,1,3,4,3,2,4,1,1,1,4,2,1,4,3,3,1,1,1,2,3,1,1,1,1,2,3.16666666666667,1,2,3,4,7,2
"4","ABA",2,0,21,0,5,1,3,1,3,1,1,1,4,1,1,3,1,3,1,3,4,1,5,1,1,1,3,1,1,3,4,2,1,1,1,1,2,1,1,1,1,1,4.5,4,2,5,3,6,7
"5","ABB",2,0,38,0,4,2,3,2,3,2,1,1,3,3,2,1,2,3,2,4,4,1,3,1,1,1,3,2,1,3,2,3,1,2,1,2,3,1,1,1,2,2,5.83333333333333,7,7,5,6,7,3
"6","ABC",2,0,22,0,4,2,3,1,3,1,1,1,3,4,1,1,1,3,2,4,4,1,4,1,1,1,3,1,1,3,3,2,1,1,1,2,2,1,1,1,1,1,3.83333333333333,7,6,7,1,1,1
"7","ACA",3,0,24,0,4,1,3,2,2,1,1,1,3,2,1,3,1,2,2,3,4,3,4,1,1,1,2,2,1,4,4,3,1,1,1,3,3,1,1,1,2,2,4.83333333333333,7,7,7,1,4,3
"8","ACB",3,0,21,0,5,3,2,4,3,5,4,1,4,2,4,4,5,2,4,2,5,5,4,1,1,1,4,1,1,5,5,4,1,1,1,5,5,3,1,1,1,5,3.16666666666667,2,1,3,4,2,7
"9","ACC",3,0,21,0,5,1,1,1,2,1,2,1,2,3,1,2,1,2,1,1,3,1,3,1,2,1,2,1,1,1,2,1,1,1,1,3,4,2,2,1,2,2,4.16666666666667,4,5,7,1,2,6
"10","AČA",4,0,23,0,4,1,5,2,5,1,1,1,5,4,1,1,1,2,1,4,4,1,5,1,1,1,3,1,1,3,3,3,1,1,1,1,4,1,1,1,1,1,6,7,7,7,7,7,1
"11","AČB",4,0,23,0,5,1,4,1,4,1,1,1,3,3,1,3,1,3,1,4,3,2,3,1,1,1,3,1,1,4,2,2,1,1,1,3,2,1,1,1,1,1,6.33333333333333,5,6,7,6,7,7
"12","AČC",4,0,23,0,5,2,4,1,3,1,1,1,4,2,1,2,2,4,2,3,4,2,4,1,1,1,3,1,1,5,3,2,1,1,1,3,4,1,1,1,1,1,7,7,7,7,7,7,7
"13","ADA",5,0,22,1,3,1,2,2,1,1,1,3,3,3,2,2,1,4,2,5,5,3,5,2,1,1,3,1,1,3,3,3,1,1,1,1,3,1,1,1,1,1,7,7,7,7,7,7,7
"14","ADB",5,0,22,0,2,1,2,1,1,2,2,1,1,2,3,2,1,1,4,2,1,3,1,2,3,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,3,3,7,7,7,7,7,7,7
"15","ADC",5,0,20,1,4,1,2,1,2,1,1,1,4,3,1,2,1,4,3,3,4,2,4,1,1,1,2,1,1,4,3,1,1,1,1,2,1,1,1,1,1,1,7,7,7,7,7,7,7
"16","AĎA",6,0,22,0,4,1,2,1,3,1,3,1,3,1,1,4,2,3,3,3,4,2,4,3,1,3,3,1,1,4,4,3,1,1,1,3,4,1,2,1,3,4,6.33333333333333,6,6,7,6,6,7
"17","AĎB",6,0,24,0,3,1,1,1,1,1,1,1,2,2,1,3,1,3,1,1,3,1,4,1,1,1,3,2,1,1,1,1,1,4,2,1,1,2,2,1,1,1,6.83333333333333,7,7,6,7,7,7
