"","Gender","Treatment","Dice_report","Report_time","Happy","Loving","Tired","Calm","Gloomy","Fed_up","Sad","Content","Cheerful","active","active2","tired2","angry","tense","angry2","pos_mood","neg_mood"
"56",0,1,"5.00",2.29,"4.00","4.00","2.00","5.00","2.00","2.00","2.00","4.00","3.00","3.00","4.00","3.00","2.00","1.00","2.00","3.86","1.89"
"57",0,1,"5.00",3.92,"4.00","3.00","1.00","2.00","1.00","4.00","1.00","4.00","3.00","3.00","4.00","1.00","1.00","2.00","1.00","3.29","1.78"
"58",1,1,"6.00",2.27,"4.00","4.00","2.00","5.00","1.00","3.00","1.00","3.00","3.00","4.00","3.00","2.00","2.00","1.00","1.00","3.71","1.56"
"59",1,1,"6.00",4.85,"3.00","4.00","4.00","3.00","2.00","4.00","3.00","4.00","3.00","2.00","2.00","1.00","1.00","1.00","2.00","3.00","2.44"
"60",0,1,"6.00",7.14,"3.00","4.00","2.00","2.00","2.00","4.00","3.00","2.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","2.86","2.89"
"61",1,1,"2.00",2.86,"4.00","3.00","3.00","5.00","1.00","3.00","1.00","4.00","4.00","3.00","4.00","3.00","1.00","1.00","4.00","3.86","2.11"
"62",0,1,"2.00",5.75,"5.00","3.00","1.00","5.00","1.00","1.00","1.00","5.00","4.00","4.00","4.00","1.00","1.00","1.00","1.00","4.29","1.11"
"63",0,1,"3.00",5.23,"4.00","1.00","1.00","4.00","1.00","1.00","2.00","3.00","4.00","3.00","4.00","1.00","1.00","1.00","1.00","3.29","1.11"
"64",0,1,"3.00",1.61,"4.00","5.00","2.00","3.00","2.00","2.00","1.00","3.00","4.00","3.00","4.00","2.00","3.00","2.00","2.00","3.71","2.00"
"65",0,1,"4.00",6.51,"4.00","3.00","1.00","4.00","1.00","1.00","1.00","4.00","4.00","4.00","4.00","1.00","1.00","3.00","1.00","3.86","1.22"
"66",0,1,"5.00",6.34,"3.00","3.00","4.00","3.00","2.00","2.00","2.00","3.00","4.00","3.00","3.00","4.00","3.00","3.00","3.00","3.14","2.78"
"67",0,1,"5.00",2.25,"4.00","3.00","3.00","2.00","2.00","3.00","1.00","3.00","4.00","3.00","4.00","3.00","2.00","3.00","2.00","3.29","2.56"
"68",0,1,"5.00",4.9,"3.00","3.00","4.00","4.00","3.00","3.00","3.00","4.00","4.00","3.00","4.00","4.00","1.00","1.00","2.00","3.57","2.56"
"69",0,1,"5.00",3.83,"4.00","5.00","5.00","4.00","1.00","1.00","1.00","5.00","4.00","3.00","3.00","5.00","2.00","1.00","1.00","4.00","2.00"
"70",0,1,"6.00",7.09,"4.00","3.00","1.00","3.00","1.00","2.00","1.00","4.00","4.00","4.00","4.00","4.00","1.00","2.00","1.00","3.71","1.56"
"71",0,1,"3.00",7.43,"5.00","5.00","3.00","4.00","1.00","2.00","1.00","5.00","5.00","2.00","4.00","2.00","1.00","1.00","1.00","4.29","1.44"
"72",0,1,"6.00",4.23,"5.00","5.00","1.00","5.00","1.00","3.00","1.00","4.00","5.00","5.00","5.00","1.00","1.00","3.00","1.00","4.86","1.44"
"73",1,1,"6.00",3.28,"5.00","5.00","1.00","5.00","1.00","2.00","1.00","5.00","5.00","5.00","4.00","3.00","1.00","1.00","1.00","4.86","1.33"
"74",0,1,"6.00",4.6,"3.00","4.00","3.00","1.00","2.00","4.00","3.00","2.00","5.00","4.00","4.00","4.00","4.00","4.00","4.00","3.29","3.56"
