"","Consent","Pre_Perc_1","Pre_Cert","C1","Post_Perc_1","Post_Cert","Check","Check_4_TEXT","See","Pet_Agree","Pet_Conv","Pie_Agree","Pie_Conv","Age","Gender","Party","Educ","Occ","Live","ConditionOne","ConditionTwo","ConditionThree","ConditionFour","ConditionFive","Gender_female","Education_college","Party_democrat"
"432",1,72,5,8,71,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,1,2,1,1,NA,NA,NA,NA,0,0,1
"433",1,69,5,NA,30,5,4,"I am paying attention",2,3,4,NA,NA,2,2,1,2,2,1,NA,NA,1,NA,NA,1,1,1
"434",1,67,3,NA,97,7,4,"I am paying attention.",1,NA,NA,6,7,2,2,3,2,2,1,NA,1,NA,NA,NA,1,1,0
"435",1,85,5,8,90,5,4,"I am paying attention",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"436",1,90,5,NA,97,7,4,"I am paying attention.",4,7,7,7,7,3,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"437",1,80,1,NA,97,6,4,"I am paying attention.",4,6,6,6,6,3,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"438",1,95,6,NA,97,7,4,"I am paying attention.",4,3,5,7,6,2,2,1,2,2,1,NA,NA,NA,NA,1,1,1,1
"439",1,97,6,NA,97,6,4,"I am paying attention.",2,4,1,NA,NA,2,1,3,2,2,1,NA,NA,1,NA,NA,0,1,0
"440",1,87,5,NA,94,6,4,"I am paying attention",1,NA,NA,7,7,3,2,2,2,2,1,NA,1,NA,NA,NA,1,1,0
"441",1,79,6,NA,86,6,4,"I am paying attention.",1,NA,NA,5,5,2,1,2,2,2,1,NA,NA,NA,NA,1,0,1,0
"442",1,97,7,NA,97,7,4,"I am paying attention",4,1,1,7,1,3,2,1,1,2,1,NA,NA,NA,1,NA,1,0,1
"443",1,80,5,NA,97,7,4,"I am paying attention",4,2,5,7,7,3,2,3,1,2,1,NA,NA,NA,NA,1,1,0,0
"444",1,94,5,NA,94,5,4,"I am paying attention.",2,4,4,NA,NA,2,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"445",1,15,5,8,15,5,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,2,2,2,1,1,NA,NA,NA,NA,1,1,0
"446",1,81,1,NA,78,2,4,"I am paying attention",1,NA,NA,1,2,2,2,1,2,2,1,NA,1,NA,NA,NA,1,1,1
"447",1,98,7,NA,97,7,4,"I am paying attention",4,2,1,7,6,2,1,2,3,2,1,NA,NA,NA,NA,1,0,1,0
"448",1,79,5,NA,37,3,4,"I am paying attention",2,4,5,NA,NA,2,2,3,1,2,1,NA,NA,1,NA,NA,1,0,0
"449",1,99,7,NA,99,7,4,"I am paying attention",4,7,5,7,6,2,2,1,3,2,1,NA,NA,NA,1,NA,1,1,1
"450",1,80,5,NA,97,5,4,"I am paying attention",1,NA,NA,6,6,2,2,3,2,2,1,NA,1,NA,NA,NA,1,1,0
"451",1,88,5,8,85,5,4,"I am paying attention.",5,NA,NA,NA,NA,3,1,2,2,2,1,1,NA,NA,NA,NA,0,1,0
"452",1,56,5,NA,88,6,4,"I am paying attention",4,4,4,3,5,2,1,1,2,2,1,NA,NA,NA,1,NA,0,1,1
"453",1,99,7,8,99,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,2,2,1,1,NA,NA,NA,NA,1,1,1
"454",1,87,6,NA,80,5,4,"I am paying attention.",2,6,6,NA,NA,1,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"455",1,86,7,NA,86,6,4,"I am paying attention.",2,7,6,NA,NA,1,2,3,2,2,1,NA,NA,1,NA,NA,1,1,0
"456",1,80,6,NA,97,7,4,"I am paying attention.",4,7,7,7,7,2,2,3,2,2,1,NA,NA,NA,NA,1,1,1,0
"457",1,95,7,NA,97,7,4,"I am paying attention",1,NA,NA,7,7,2,1,1,3,2,1,NA,1,NA,NA,NA,0,1,1
"458",1,97,5,NA,97,5,4,"I am paying attention.",1,NA,NA,6,6,2,1,1,1,2,1,NA,1,NA,NA,NA,0,0,1
"459",1,90,5,NA,97,7,4,"I am paying attention.",4,7,7,7,7,2,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"460",1,90,7,8,85,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,2,1,3,2,1,1,NA,NA,NA,NA,1,1,1
"461",1,90,5,NA,90,5,4,"I am paying attention.",2,1,1,NA,NA,1,1,3,2,2,1,NA,NA,1,NA,NA,0,1,0
"462",1,92,7,NA,96,7,4,"I am paying attention",4,1,1,7,7,2,1,2,2,2,1,NA,NA,NA,NA,1,0,1,0
"463",1,97,7,NA,97,7,4,"I am paying attention.",4,7,6,7,7,2,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"464",1,92,7,NA,97,7,4,"I am paying attention",4,7,7,7,7,3,2,2,2,2,1,NA,NA,NA,NA,1,1,1,0
"465",1,98,4,NA,98,4,4,"I am paying attention.",3,NA,NA,NA,NA,2,1,3,1,2,1,NA,NA,1,NA,NA,0,0,0
"466",1,99,7,NA,97,7,4,"I am paying attention",1,NA,NA,7,5,1,1,2,2,2,1,NA,1,NA,NA,NA,0,1,0
"467",1,99,7,8,99,7,4,"I am paying attention.",5,NA,NA,NA,NA,2,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"468",1,93,7,NA,97,7,4,"I am paying attention.",1,NA,NA,6,7,2,2,1,NA,2,1,NA,1,NA,NA,NA,1,0,1
"469",1,84,1,NA,62,2,4,"i am paying attention",2,2,4,NA,NA,2,2,1,1,2,1,NA,NA,1,NA,NA,1,0,1
"470",1,86,7,8,90,7,4,"I am paying attention",5,NA,NA,NA,NA,1,1,1,2,2,1,1,NA,NA,NA,NA,0,1,1
"471",1,90,6,NA,95,7,4,"I am paying attention.",4,7,7,6,7,1,1,2,2,2,1,NA,NA,NA,1,NA,0,1,0
"472",1,68,5,NA,97,7,4,"I am paying attention.",4,1,1,6,6,2,1,3,2,2,1,NA,NA,NA,NA,1,0,1,0
"473",1,95,7,NA,97,7,4,"I am paying attention",4,4,2,7,4,2,2,1,2,2,1,NA,NA,NA,1,NA,1,1,1
"474",1,61,5,NA,60,5,4,"I am paying attention.",2,4,5,NA,NA,2,1,3,3,2,1,NA,NA,1,NA,NA,0,1,0
"475",1,76,6,NA,97,7,4,"I am paying attention",1,NA,NA,7,6,1,2,1,1,2,1,NA,1,NA,NA,NA,1,0,1
"476",1,93,6,8,93,6,4,"I am paying attention",5,NA,NA,NA,NA,1,1,1,3,2,1,1,NA,NA,NA,NA,0,1,1
