"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,1,0,92.8333333333333,1,22,0,1,5,5,2,1,3,2,9
"2",1,0,0,48.3333333333333,1,19,0,1,4,1,5,1,2,3,9
"3",0,0,1,75.3333333333333,0,19,0,0,4,3,3,6,1,5,9
"4",1,0,0,91.5,0,19,0,1,3,1,7,1,5,2,9
"5",0,1,0,71.1666666666667,0,20,0,1,6,7,1,1,1,3,9
"6",1,0,0,63.8333333333333,0,18,0,1,2,1,6,1,5,1,9
"7",0,0,1,70.5,0,20,0,0,4,1,1,6,1,5,9
"8",1,0,0,76.3333333333333,0,19,0,1,1,1,7,1,7,1,9
"9",0,0,1,87.1666666666667,1,18,0,1,5,1,1,7,1,6,9
"10",0,1,0,78.8333333333333,1,19,0,0,4,6,2,1,1,5,9
"11",0,1,0,76.6666666666667,0,18,0,1,6,6,1,1,1,5,9
"12",1,0,0,65.6666666666667,0,21,0,1,1,1,7,1,7,1,9
"13",0,0,1,70.3333333333333,0,18,0,1,7,1,1,7,1,7,9
"14",0,1,0,63.1666666666667,1,18,0,1,7,5,1,1,1,7,9
"15",0,0,1,72,1,18,0,0,5,4,4,6,1,4,9
"16",1,0,0,78.6666666666667,0,19,0,0,1,1,7,1,7,1,9
"17",1,0,0,76.1666666666667,0,27,0,1,1,4,6,1,7,1,9
"18",0,0,1,62,0,19,0,1,4,1,1,7,1,7,9
"19",0,1,0,61.3333333333333,1,21,0,1,5,6,1,1,1,4,9
"20",0,0,1,63.8333333333333,0,19,0,1,4,1,1,7,1,4,9
"21",1,0,0,59.6666666666667,1,20,0,1,1,1,6,3,7,1,9
"22",1,0,0,91.6666666666667,0,20,0,0,1,1,7,1,7,1,9
"23",0,1,0,60,0,20,0,1,5,7,1,1,2,4,9
"24",0,0,1,80.5,0,19,0,1,4,1,1,7,3,5,9
"25",0,1,0,56.6666666666667,1,23,0,1,6,6,5,1,1,1,9
"26",0,0,1,100,1,23,0,1,4,1,1,1,1,4,9
"27",1,0,0,90.3333333333333,0,20,0,1,1,1,6,1,7,1,9
"28",0,1,0,66.8333333333333,0,19,0,0,4,6,3,5,1,4,9
"29",1,0,0,74.3333333333333,0,18,0,1,1,3,5,1,7,1,9
"30",0,1,0,73.5,0,19,0,0,5,7,1,1,2,3,9
"31",1,0,0,73.5,1,19,0,0,1,1,7,1,5,1,9
"32",0,0,1,77.3333333333333,1,22,0,0,4,3,2,6,1,6,9
"33",0,0,1,48.3333333333333,0,20,0,0,2,1,1,6,1,5,9
"34",0,1,0,73.5,0,18,0,1,3,2,6,4,5,2,9
"35",0,1,0,94.1666666666667,1,21,0,0,7,6,1,1,1,5,9
"36",1,0,0,62.1666666666667,0,24,0,1,1,1,7,1,7,1,9
"37",0,1,0,65.6666666666667,0,20,0,1,3,7,1,1,4,1,9
"38",0,0,1,72.5,1,24,0,1,4,1,1,7,1,7,9
"39",1,0,0,82.5,0,19,0,0,1,2,7,1,6,1,9
"40",0,0,1,55,1,21,0,1,5,4,4,1,1,7,9
"41",0,1,0,87.5,0,20,0,0,2,6,1,1,5,1,9
"42",0,0,1,82,0,27,0,1,4,1,5,3,2,3,9
"43",0,1,0,80.1666666666667,0,22,0,1,6,5,1,3,1,4,9
"44",0,0,1,72,0,21,0,0,4,1,1,7,1,6,9
"45",1,0,0,60.5,1,22,0,0,1,1,7,1,6,1,9
"46",0,1,0,59,0,18,0,1,5,5,1,1,2,4,9
