"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"1",1,0,0,81.9444444444444,0,19,0,0,1,1,6,2,5,2
"2",0,1,0,72.979797979798,0,18,0,0,4,5,6,3,2,4
"3",1,0,0,76.8939393939394,0,19,0,1,1,1,7,1,7,1
"4",0,0,1,83.0900243309002,1,38,1,0,4,1,1,1,1,4
"5",0,1,0,32.8571428571429,1,20,1,0,3,5,1,3,5,2
"6",1,0,0,67.2979797979798,1,20,0,1,3,1,6,1,5,1
"7",1,0,0,73.2323232323232,1,23,0,1,2,3,5,2,5,1
"8",0,1,0,80.5555555555556,0,22,0,0,2,5,1,3,1,1
"9",0,1,0,81.5656565656566,0,21,0,0,5,5,1,5,1,6
"10",0,1,0,82.5757575757576,1,18,0,0,4,5,1,4,1,3
"11",1,0,0,84.160756501182,1,20,0,0,1,2,7,1,7,1
"12",1,0,0,66.3120567375886,1,22,0,1,1,1,7,1,7,1
"13",0,1,0,89.520202020202,1,24,0,1,5,6,1,2,1,5
"14",0,1,0,52.9040404040404,1,18,0,1,5,5,1,2,1,5
"15",0,1,0,58.7121212121212,1,20,0,1,6,7,2,1,2,6
"16",0,0,1,82.9545454545455,0,18,0,1,4,1,1,4,1,7
"17",0,0,1,69.3853427895981,1,19,0,0,6,1,1,7,1,7
"18",0,0,1,70.959595959596,1,19,0,0,5,1,1,7,1,7
"19",1,0,0,25,1,20,0,0,2,1,7,2,5,1
"20",1,0,0,74.1666666666667,1,18,0,0,1,1,7,1,3,1
"21",0,0,1,46.3095238095238,0,20,0,0,4,1,1,1,1,4
"22",0,0,1,47.1428571428571,1,19,0,1,3,1,1,7,1,1
"23",1,0,0,58.2142857142857,1,19,0,1,2,4,6,3,5,1
"24",0,1,0,80.4761904761905,1,25,0,0,4,5,3,3,1,2
"25",1,0,0,46.0714285714286,1,19,0,1,1,1,7,1,7,1
"26",0,0,1,68.3333333333333,1,21,0,1,1,1,2,2,2,3
"27",1,0,0,51.1904761904762,1,19,0,1,1,1,6,1,5,1
"28",0,0,1,87.6190476190476,1,21,0,0,4,1,1,7,1,7
"29",0,0,1,66.6666666666667,1,26,0,0,4,1,1,7,1,7
"30",1,0,0,66.4141414141414,1,21,0,0,1,1,7,2,6,1
"31",0,1,0,71.8434343434344,0,18,1,0,4,1,1,7,1,4
"32",1,0,0,41.9191919191919,1,19,0,1,1,1,6,2,5,1
"33",0,1,0,64.520202020202,0,26,0,1,7,7,1,1,1,7
"34",0,1,0,74.3686868686869,1,18,0,1,5,6,2,3,1,5
"35",0,0,1,50.7575757575758,1,26,0,1,4,4.5,1.5,4,4,4
"36",0,1,0,69.5707070707071,1,21,0,0,4,6,1,4,1,3
"37",0,0,1,72.8535353535353,1,21,0,0,4,1,1,7,1,4
"38",0,0,1,86.3636363636364,0,19,0,0,4,1,1,7,1,7
"39",1,0,0,88.8888888888889,1,19,0,1,1,1,7,2,7,1
"40",0,1,0,65.1515151515152,1,27,0,0,6,3,4,4,2,3
"41",0,0,1,43.5606060606061,0,18,0,1,6,1,1,7,1,6
"42",1,0,0,81.9444444444445,0,20,0,0,1,1,6,3,7,1
"43",0,0,1,91.7929292929293,1,25,0,0,7,4,1,7,1,1
"44",1,0,0,83.3333333333333,1,21,0,0,1,1,7,4,7,1
"45",0,1,0,69.1919191919192,1,18,0,0,5,7,1,1,2,4
"46",0,0,1,60.479797979798,0,19,0,1,4,1,1,7,1,4
"47",0,0,1,64.0151515151515,0,18,0,0,4,4,4,7,1,4
"48",1,0,0,67.0454545454546,1,23,0,1,1,1,6,2,6,1
"49",1,0,0,35.7323232323232,1,20,0,1,1,1,7,1,3,2
"50",0,1,0,95.0757575757576,0,18,0,1,6.5,5.5,1.5,2.5,1,6.5
"51",NA,NA,NA,61.7424242424243,0,18,0,0,4,4,4,7,4,5
"52",0,1,0,51.0714285714286,1,21,0,1,6,5,2,6,2,4
"53",0,0,1,65.1190476190476,1,19,0,0,7,1,1,4,1,7
"54",NA,NA,NA,37.2619047619048,0,22,0,1,2,1,1,4,5,2
"55",1,0,0,57.1428571428571,1,19,0,1,1,1,7,1,7,1
"56",0,1,0,71.1904761904762,1,18,0,0,5.3,6.7,4.2,2.5,1.8,4.1
"57",0,0,1,45.5952380952381,1,22,0,1,4,1,2,7,1,3
"58",0,0,1,54.7619047619048,1,18,1,0,4,1,3,3,1,3
