"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,1,0,NA,1,19,0,0,5,7,1,1,1,2,5
"2",0,1,0,73.3333333333333,0,30,0,0,4,7,7,7,1,1,5
"3",0,1,0,82.2619047619047,1,19,1,0,6,6,1,1,1,5,5
"4",0,0,1,56.1904761904762,0,19,0,1,4,4,5,4,1,4,5
"5",0,1,0,63.6904761904762,0,26,0,0,2,5,2,1,5,1,5
"6",0,0,1,77.7380952380952,0,19,0,0,6,1,1,4,1,7,5
"7",1,0,0,81.1904761904762,0,19,0,1,1,1,7,1,7,1,5
"8",0,0,1,75,0,39,0,0,4,1,1,4,1,6,5
"9",0,0,1,88.6904761904762,0,19,0,1,4,1,1,7,1,7,5
"10",1,0,0,67.8571428571429,0,24,0,1,1,1,7,1,7,1,5
"11",0,1,0,81.0714285714286,0,19,0,1,5,4,1,4,1,2,5
"12",0,0,1,88.9285714285714,0,20,0,0,4,1,1,4,1,7,5
"13",0,1,0,78.2142857142857,0,19,0,0,4,5,2,7,4,2,5
"14",0,0,1,65.5952380952381,0,20,0,0,4,1,1,4,1,4,5
"15",0,1,0,60.952380952381,0,19,0,0,5,7,4,6,1,7,5
"16",0,1,0,82.9761904761905,0,20,0,1,6,7,1,1,1,6,5
"17",0,1,0,71.7857142857143,0,19,0,1,7,7,1,1,1,6,5
"18",1,0,0,67.5,0,46,0,0,1,1,7,1,7,1,5
"19",1,0,0,91.6666666666667,0,19,1,0,1,1,7,1,7,1,5
"20",0,0,1,90.7142857142857,0,20,1,0,4,1,1,1,1,5,5
"21",0,0,1,64.0476190476191,0,20,1,0,4,1,1,4,1,3,5
"22",0,0,1,84.4047619047619,0,21,0,0,4,1,1,7,1,6,5
"23",0,0,1,65.3571428571429,1,19,0,1,6,1,1,7,1,6,5
"24",0,1,0,77.0238095238095,1,19,0,0,6,7,3,1,1,7,5
"25",1,0,0,82.8571428571428,1,24,0,0,4,1,7,4,5,1,5
"26",1,0,0,96.0714285714286,0,19,0,0,1,1,7,1,7,1,5
"27",0,1,0,77.6190476190476,0,18,0,1,4,5,4,3,4,3,5
"28",0,0,1,83.3333333333333,0,19,0,0,5,1,1,7,1,5,5
"29",0,1,0,66.6666666666667,0,18,0,0,4,6,1,3,1,3,5
"30",0,0,1,95,0,19,1,0,4,1,5,4,1,4,5
"31",1,0,0,58.3333333333333,0,19,1,0,1,1,7,1,7,1,5
"32",1,0,0,84.2857142857143,1,53,0,0,1,1,7,1,7,1,5
"33",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"34",0,1,0,61.7857142857143,0,34,0,0,4,5,2,3,1,4,5
"35",1,0,0,NA,0,18,0,0,1,1,7,1,7,1,5
"36",0,1,0,82.0238095238095,0,36,0,0,4,5,1,4,1,3,5
"37",0,0,1,84.6428571428571,0,23,0,1,4,1,1,6,1,5,5
"38",0,0,1,57.9761904761905,0,18,0,0,4,1,1,4,1,7,5
"39",0,0,1,87.6190476190476,0,19,0,1,4,1,1,7,1,7,5
"40",0,1,0,83.3333333333333,1,19,1,0,7,1,1,7,1,1,5
"41",1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"42",1,0,0,62.5,0,19,0,0,2,1,7,1,6,1,5
"43",1,0,0,69.5238095238095,0,18,0,1,1,1,7,6,7,2,5
"44",1,0,0,56.0714285714286,1,28,0,1,1,1,7,1,7,1,5
"45",0,1,0,60,0,29,0,0,4,5,3,4,1,2,5
"46",1,0,0,83.2142857142857,0,19,0,0,1,1,7,1,7,1,5
"47",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"48",0,0,1,65,1,18,0,0,4,1,1,7,1,4,5
"49",0,1,0,70,0,19,0,0,4,2,5,3,4,2,5
"50",0,1,0,88.5714285714286,0,19,0,0,4,5,1,4,1,4,5
"51",1,0,0,58.0952380952381,0,19,0,1,1,1,7,1,6,1,5
"52",0,0,1,76.1904761904762,0,30,1,0,4,1,1,7,1,7,5
"53",0,0,1,77.7380952380952,0,20,0,0,7,1,1,7,1,7,5
"54",1,0,0,90.8333333333333,1,31,0,0,1,1,7,1,7,1,5
"55",0,0,1,73.0952380952381,0,26,0,0,4,1,1,7,1,7,5
"56",0,1,0,85.3571428571428,0,21,0,0,2,7,1,1,4,1,5
"57",0,1,0,46.3095238095238,1,18,0,0,6,6,1,1,1,4,5
"58",0,0,1,67.3809523809524,0,18,0,1,4,1,1,7,1,6,5
"59",1,0,0,97.8571428571428,0,NA,0,0,1,1,6,4,7,2,5
"60",0,0,1,80.9523809523809,0,19,0,0,4,1,1,4,1,2,5
"61",0,0,1,80.5952380952381,1,19,1,0,7,1,1,7,1,7,5
"62",1,0,0,66.6666666666667,0,19,0,0,1,1,7,2,7,1,5
