"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",1,0,0,82.0833333333333,1,26,0,1,3,2,6,1,5,1,4
"2",1,0,0,83.9285714285714,0,16,0,0,1,1,6,2,7,1,4
"3",1,0,0,72.7976190476191,1,19,0,1,1,1,7,1,7,1,4
"4",0,0,1,72.2619047619048,0,19,0,1,4,1,1,7,1,7,4
"5",0,1,0,74.6428571428572,0,21,0,0,6,6,1,6,1,5,4
"6",1,0,0,72.7976190476191,0,20,0,0,1,1,6,1,4,1,4
"7",1,0,0,64.7619047619048,0,19,0,1,1,1,6,1,6,1,4
"8",1,0,0,56.1904761904762,0,21,0,1,1,1,7,1,7,1,4
"9",0,0,1,83.1547619047619,0,20,1,0,4,1,1,7,1,7,4
"10",0,0,1,75.8333333333333,0,20,0,1,4,1,1,7,1,7,4
"11",0,0,1,77.6190476190476,0,20,1,0,5,1,1,4,1,5,4
"12",0,1,0,66.9642857142857,0,22,0,1,7,7,6,2,2,6,4
"13",0,0,1,49.1666666666667,1,21,0,1,4,1,1,7,1,5,4
"14",1,0,0,69.9404761904762,1,19,0,1,5,2,6,5,3,3,4
"15",0,1,0,61.6666666666667,0,18,1,0,5,6,2,2,1,5,4
"16",0,1,0,85.1785714285714,0,19,0,1,7,7,1,1,1,7,4
"17",0,1,0,68.0357142857143,0,23,0,0,4,6,1,1,2,3,4
"18",0,1,0,63.0952380952381,1,19,1,0,6,5,3,3,2,6,4
"19",0,1,0,78.1547619047619,1,20,1,0,5,5,2,2,1,6,4
"20",1,0,0,52.1428571428571,1,21,0,1,1,2,6,2,6,1,4
"21",0,0,1,69.1071428571429,0,21,0,1,4,1,1,7,1,5,4
"22",1,0,0,75.5952380952381,0,20,0,0,1,1,6,1,5,1,4
"23",0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,4
"24",0,0,1,57.3809523809524,1,19,0,1,4,5,2,3,2,5,4
"25",1,0,0,67.7976190476191,1,18,0,1,2,1,7,1,6,1,4
"26",0,0,1,83.3333333333333,1,19,0,0,4,4,5,3,4,4,4
"27",0,1,0,84.0476190476191,0,19,1,0,5,5,1,1,2,3,4
"28",1,0,0,59.5238095238095,0,22,0,1,1,1,7,1,5,1,4
"29",1,0,0,84.4047619047619,0,20,0,0,1,1,6,1,7,1,4
"30",0,1,0,55.9523809523809,0,20,0,1,4,5,1,3,1,4,4
"31",0,0,1,79.5238095238095,0,21,0,1,4,1,1,7,4,4,4
"32",1,0,0,78.9285714285714,1,20,0,1,1,1,7,1,7,1,4
"33",0,0,1,55.2976190476191,0,18,0,1,6,4,1,7,1,7,4
"34",1,0,0,57.7976190476191,1,19,0,1,2,2,6,2,6,1,4
"35",0,1,0,66.6666666666667,1,18,1,0,5,6,2,2,3,3,4
"36",1,0,0,70.1785714285714,1,21,1,0,1,1,7,1,7,1,4
"37",0,0,1,75.8333333333333,1,24,1,0,5,1,1,5,1,6,4
"38",1,0,0,61.1904761904762,0,24,0,1,1,1,7,1,7,1,4
"39",1,0,0,67.4404761904762,1,19,1,0,1,2,3,6,7,1,4
"40",0,1,0,79.4047619047619,0,20,0,0,6,6,1,2,1,1,4
"41",1,0,0,78.4523809523809,0,23,0,0,1,1,7,2,5,2,4
"42",0,1,0,89.7619047619048,0,19,1,0,7,6,1,2,1,7,4
"43",1,0,0,57.6190476190476,0,20,1,0,1,1,7,1,7,1,4
"44",0,0,1,75.1190476190476,1,18,0,0,4,2,2,6,2,3,4
"45",1,0,0,69.8809523809524,0,21,0,0,1,1,7,1,7,1,4
"46",1,0,0,58.0952380952381,0,20,0,1,1,1,7,1,7,1,4
"47",0,1,0,66.4285714285714,0,18,0,1,7,7,1,1,1,7,4
"48",1,0,0,56.1904761904762,0,21,0,1,1,1,7,1,2,1,4
"49",1,0,0,82.6190476190476,1,24,0,0,2,1,6,1,5,1,4
"50",1,0,0,61.9047619047619,0,19,0,1,1,1,7,3,7,1,4
"51",0,1,0,73.4523809523809,1,19,0,0,6,6,5,2,1,4,4
"52",0,1,0,69.5238095238095,1,22,0,0,5,7,1,1,1,2,4
"53",0,1,0,48.0952380952381,0,21,0,1,6,6,1,2,1,7,4
"54",0,0,1,36.1904761904762,0,25,0,1,5,1,1,7,1,4,4
"55",0,0,1,67.5,1,20,1,0,3,3,6,1,3,2,4
"56",0,0,1,88.3333333333333,0,19,0,0,4,1,1,5,1,4,4
"57",0,0,1,62.5595238095238,0,21,NA,0,3,1,3,5,6,3,4
"58",0,1,0,95.1190476190476,1,24,0,0,4,6,5,4,3,5,4
"59",1,0,0,97.8571428571429,0,18,0,1,1,1,7,1,7,1,4
"60",0,1,0,54.5238095238095,0,18,0,1,7,7,3,3,1,7,4
"61",0,1,0,68.0952380952381,0,18,0,0,4,6,1,2,4,2,4
"62",1,0,0,68.0952380952381,0,18,0,1,1,1,7,1,7,1,4
"63",0,0,1,70.2380952380952,0,34,0,0,3,1,1,7,4,4,4
"64",0,0,1,60.4761904761905,0,20,0,1,4,1,4,6,1,6,4
"65",0,1,0,87.3809523809524,0,21,0,1,6,7,1,3,1,5,4
"66",0,1,0,76.4285714285714,1,18,1,0,6,6,2,2,1,5,4
"67",0,0,1,38.5714285714286,1,20,0,1,4,3,3,7,1,4,4
"68",0,1,0,90.2380952380952,0,23,0,1,5,7,1,1,1,1,4
"69",0,1,0,55.7142857142857,1,19,0,0,6,6,3,1,2,4,4
"70",1,0,0,87.5595238095238,1,20,0,1,1,1,4,5,7,1,4
"71",0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,4
"72",0,1,0,64.7619047619048,0,19,0,0,6,6,1,1,1,3,4
"73",0,1,0,80.3571428571429,1,19,0,1,4,7,1,2,4,5,4
"74",1,0,0,69.2857142857143,0,19,1,0,2,1,5,1,6,1,4
"75",0,1,0,65.8333333333333,0,20,0,1,4,5,1,3,2,2,4
"76",1,0,0,82.1428571428572,0,19,0,1,1,1,7,1,7,1,4
"77",0,0,1,90.4761904761905,0,25,0,1,4,1,5,3,1,6,4
"78",1,0,0,55.2380952380952,0,36,1,0,2,1,5,1,6,1,4
"79",0,1,0,81.9047619047619,1,22,1,0,4,5,5,3,3,2,4
"80",0,1,0,76.1904761904762,1,19,0,0,4,5,3,2,2,4,4
"81",0,1,0,81.0119047619048,0,19,0,0,7,7,1,1,1,7,4
"82",1,0,0,69.5238095238095,1,20,1,0,1,1,5,3,7,1,4
"83",1,0,0,66.5476190476191,0,18,0,1,2,1,6,3,5,1,4
"84",0,1,0,70.1190476190476,0,20,1,0,6,7,1,1,1,4,4
"85",1,0,0,56.8452380952381,0,20,0,0,1,1,6,2,7,1,4
"86",0,1,0,61.3095238095238,0,19,0,1,4,6,5,3,5,1,4
"87",1,0,0,72.3809523809524,0,22,0,0,1,1,7,1,7,1,4
"88",0,1,0,67.2619047619048,0,23,NA,0,6,6,1,3,1,3,4
"89",1,0,0,76.4285714285714,0,19,0,1,1,1,7,1,7,1,4
"90",0,0,1,80.4761904761905,1,19,1,0,4,4,4,4,1,4,4
"91",0,1,0,56.7857142857143,1,19,0,1,5,6,3,1,2,5,4
"92",1,0,0,57.1428571428571,0,21,1,0,1,1,5,1,7,1,4
"93",0,1,0,67.3809523809524,1,19,0,1,6,6,1,2,1,6,4
"94",0,1,0,90,1,19,0,0,5,4,4,3,1,5,4
"95",0,0,1,85.7142857142857,0,19,0,1,4,5,1,7,1,7,4
"96",0,1,0,45.7142857142857,0,20,0,0,5,6,1,3,1,4,4
"97",1,0,0,65.3571428571429,1,18,1,0,1,1,7,1,6,1,4
"98",1,0,0,100,0,20,0,1,1,1,7,1,7,1,4
"99",1,0,0,57.0238095238095,1,20,0,0,1,1,7,2,6,1,4
"100",0,0,1,100,0,22,0,0,4,4,4,4,1,4,4
"101",0,0,1,81.0714285714286,1,21,0,1,4,1,1,7,1,4,4
"102",1,0,0,47.6190476190476,0,19,0,0,2,1,2,2,4,1,4
"103",1,0,0,72.2619047619048,0,18,0,0,2,2,6,1,6,1,4
"104",0,0,1,64.7619047619048,1,19,1,0,7,1,1,7,1,7,4
