"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,0,1,68.9922480620155,0,21,0,1,4,4,4,7,1,5,2
"2",1,0,0,59.9483204134367,0,21,0,0,3,1,6,2,2,4,2
"3",0,0,1,68.2170542635659,0,21,0,1,4,1,1,4,1,6,2
"4",0,0,1,56.2015503875969,0,20,0,1,4,1,1,7,2,5,2
"5",0,0,1,83.2041343669251,0,20,1,0,5,2,1,4,1,7,2
"6",1,0,0,43.1524547803618,0,20,0,1,3,1,6,1,4,5,2
"7",1,0,0,63.0490956072351,0,20,0,1,4,2,6,1,2,4,2
"8",0,0,1,62.1447028423773,0,19,1,0,3,4,4,7,4,4,2
"9",0,1,0,71.8346253229974,0,22,0,1,5,5,1,2,1,6,2
"10",1,0,0,67.1834625322997,0,20,0,1,1,2,7,1,6,1,2
"11",0,1,0,64.7286821705426,0,20,0,1,5,5,5,1,1,6,2
"12",1,0,0,68.2170542635659,0,22,0,1,2,1,6,1,4,1,2
"13",0,0,1,79.9741602067184,0,20,1,0,4,1,1,7,1,7,2
"14",0,1,0,61.4987080103359,0,20,0,1,4,7,1,2,4,3,2
"15",0,0,1,71.9638242894057,0,21,0,1,4,4,1,7,1,6,2
"16",0,1,0,71.8346253229974,0,21,0,1,5,5,4,2,2,3,2
"17",0,0,1,49.0956072351421,0,20,0,1,4,1,1,4,1,2,2
"18",0,0,1,66.6666666666667,0,20,0,1,4,1,1,4,1,4,2
"19",0,0,1,71.9638242894057,0,20,0,1,4,1,1,7,1,6,2
"20",1,0,0,76.2273901808785,1,23,0,1,1,1,7,1,6,2,2
"21",0,0,1,94.702842377261,0,20,0,0,5,1,1,4,1,7,2
"22",0,0,1,64.2118863049096,0,22,0,0,4,1,1,7,1,4,2
"23",0,0,1,74.6770025839793,0,21,0,0,4,1,1,7,1,7,2
"24",1,0,0,68.733850129199,0,20,0,1,2,1,6,1,5,3,2
"25",1,0,0,80.3617571059431,1,20,0,0,2,1,7,1,5,2,2
"26",1,0,0,67.7002583979328,1,22,0,0,1,1,6,1,5,1,2
"27",0,1,0,73.7726098191214,0,20,0,1,6,7,1,1,1,5,2
"28",1,0,0,58.9147286821705,0,20,0,1,1,1,7,1,6,2,2
"29",1,0,0,67.4418604651163,0,22,0,1,1,1,6,1,3,1,2
"30",0,1,0,82.4289405684754,0,19,0,1,4,6,1,1,1,2,2
"31",0,0,1,63.5658914728682,0,20,0,1,6,1,1,4,1,7,2
"32",0,1,0,80.4909560723514,0,21,0,1,5,6,1,1,2,3,2
"33",0,0,1,40.5684754521964,0,21,0,1,3,1,1,7,1,7,2
"34",1,0,0,80.3617571059431,0,20,1,0,1,1,7,1,7,1,2
"35",1,0,0,81.0077519379845,0,20,0,1,1,1,7,1,7,1,2
"36",0,1,0,71.3178294573643,0,24,0,1,5,6,1,2,1,2,2
"37",0,0,1,75.5813953488372,0,20,0,1,4,1,1,7,1,7,2
"38",1,0,0,54.9095607235142,0,20,1,0,2,1,6,1,4,2,2
"39",1,0,0,68.6046511627907,1,19,0,1,1,2,6,1,6,1,2
"40",0,1,0,62.5322997416021,0,20,0,1,4,6,1,1,3,2,2
"41",0,0,1,79.9741602067183,0,20,0,0,6,1,1,7,1,7,2
"42",0,0,1,59.3023255813954,0,19,0,1,5,1,1,4,1,7,2
"43",1,0,0,74.2894056847545,0,21,0,0,1,1,5,1,6,1,2
"44",1,0,0,70.2842377260982,0,32,0,1,1,1,7,1,7,1,2
"45",0,0,1,51.2919896640827,1,22,0,1,4,1,1,7,1,4,2
"46",0,1,0,65.6330749354005,0,20,0,1,4,7,1,1,3,3,2
"47",0,0,1,80.3617571059431,0,21,1,0,4,1,1,7,1,5,2
"48",1,0,0,61.8863049095607,1,23,0,1,1,1,7,1,6,2,2
"49",1,0,0,77.5193798449612,0,22,0,1,3,1,5,3,4,1,2
"50",0,0,1,61.4987080103359,0,23,0,0,4,1,1,7,1,7,2
"51",0,0,1,61.2403100775194,0,20,0,1,5,1,1,4,3,6,2
"52",0,1,0,56.4599483204134,0,19,0,0,6,7,1,1,1,2,2
"53",0,1,0,75.968992248062,0,21,0,1,3,7,2,2,4,2,2
"54",0,1,0,85.0129198966408,0,19,0,1,4,6,1,2,1,3,2
"55",0,1,0,76.2273901808785,0,20,0,1,7,7,1,1,1,3,2
"56",0,1,0,62.2739018087855,0,20,0,0,4,5.5,1,3,2.5,2,2
"57",1,0,0,82.0413436692506,0,20,0,1,3,1,7,2,3,3,2
"58",0,1,0,54.2635658914729,1,19,0,1,5,7,1,1,2,4,2
"59",0,1,0,79.9741602067184,0,20,0,0,4,6,2,1,3,1,2
"60",1,0,0,41.343669250646,0,20,0,1,3,2,5,3,4,2,2
"61",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"62",0,1,0,71.7054263565891,0,20,0,1,4,6,2,4,4,1,2
"63",0,1,0,68.0878552971576,0,20,0,1,5,6,1,2,2,2,2
"64",0,1,0,59.1731266149871,0,18,0,0,1,5,1,4,4,2,2
"65",0,1,0,70.5426356589147,0,20,0,1,3,7,1,2,4,1,2
"66",1,0,0,62.6614987080103,1,19,0,1,3,1,7,1,2,2,2
