"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,1,0,57.56666667,0,40,0,0,4,6,1,1,1,1,8
"2",1,0,0,89.85,0,19,0,0,1,1,7,1,7,1,8
"3",0,0,1,60.2,0,18,1,0,5,1,1,7,1,6,8
"4",1,0,0,69.25,1,24,0,0,4,1,7,2,4,3,8
"5",0,1,0,60.08333333,0,20,0,1,7,7,1,1,1,6,8
"6",1,0,0,71.88333333,0,22,0,1,1,1,7,1,7,1,8
"7",0,0,1,74.03333333,0,19,0,0,6,1,1,6,1,6,8
"8",0,1,0,48.53333333,1,27,0,0,6,6,1,1,1,6,8
"9",0,1,0,57.95,0,40,0,1,6,6,1,2,1,6,8
"10",0,0,1,78.18333333,1,43,0,0,6,4,4,7,1,7,8
"11",0,0,1,59.61666667,0,19,0,0,4,1,1,4,1,5,8
"12",1,0,0,47.8,0,23,0,0,4,1,5,3,4,1,8
"13",0,0,1,84.5,1,21,0,0,4,5,2,7,4,7,8
"14",1,0,0,81.26666667,0,21,0,0,1,1,7,1,7,1,8
"15",0,1,0,88.66666667,0,20,0,0,6,7,1,6,1,4,8
"16",1,0,0,54.96666667,0,42,0,1,2,1,6,1,6,1,8
"17",0,0,1,72.21666667,0,19,0,1,4,5,1,2,1,7,8
"18",0,1,0,84.61666667,0,18,0,1,3,7,2,1,5,1,8
"19",0,1,0,55.68333333,1,23,0,0,6,5,1,3,1,7,8
"20",1,0,0,84.95,1,23,0,0,1,1,4,1,7,1,8
"21",0,0,1,77.23333333,0,21,0,1,4,1,1,4,1,7,8
"22",0,1,0,41.63333333,0,20,0,0,4,5,5,4,3,4,8
"23",1,0,0,72.91666667,1,20,0,1,2,1,5,3,7,1,8
"24",0,1,0,58.3,1,21,0,0,5,4,4,4,2,4,8
"25",0,0,1,83.16666667,1,60,0,1,6,2,1,4,1,7,8
"26",0,0,1,51.15,0,21,0,0,4,1,1,7,1,7,8
"27",1,0,0,64.95,0,18,0,0,1,1,5,2,6,1,8
"28",0,1,0,58.76666667,0,21,0,1,6,7,1,2,1,7,8
"29",0,0,1,69.01666667,0,20,0,0,5,2,1,7,1,7,8
"30",1,0,0,62.58333333,0,18,0,0,1,2,7,3,6,1,8
"31",0,0,1,92.1,0,53,0,1,7,1,1,7,1,7,8
"32",1,0,0,82.46666667,0,19,0,0,1,1,3,1,7,1,8
"33",0,0,1,74.93333333,0,19,0,1,5,1,1,7,1,7,8
"34",0,1,0,86.4,0,42,0,0,7,6,2,4,1,7,8
"35",1,0,0,63.78333333,0,19,0,0,1,1,7,1,7,1,8
"36",0,0,1,94.4,0,49,0,1,4,1,1,7,1,7,8
"37",0,1,0,92.11666667,0,18,0,0,6,6,3,2,1,7,8
"38",0,1,0,83.33333333,1,39,0,0,5,6,2,2,1,4,8
"39",0,0,1,96.98333333,0,18,0,1,6,1,1,7,1,7,8
"40",1,0,0,64,0,19,0,1,1,1,7,1,7,1,8
"41",1,0,0,65.35,0,21,0,1,1,1,7,1,6,1,8
"42",0,1,0,73.2,1,18,0,1,1,6,2,3,6,1,8
"43",0,0,1,65.55,0,18,0,0,4,2,1,6,1,7,8
"44",0,1,0,81.3,0,22,0,0,5,7,1,1,4,3,8
"45",1,0,0,61.26666667,1,21,1,0,1,1,7,1,7,4,8
"46",1,0,0,91.9,0,26,0,0,1,1,7,1,6,1,8
"47",0,0,1,70.85,1,19,0,0,4,1,1,7,1,5,8
"48",0,1,0,73.35,0,18,0,1,4,3,1,7,1,7,8
"49",0,0,1,71.35,0,51,0,0,4,1,4,4,1,2,8
"50",1,0,0,78.18333333,0,19,0,0,1,1,5,1,7,1,8
"51",0,0,1,55.3,0,19,0,0,4,6,3,3,2,2,8
"52",0,1,0,54.03333333,0,20,0,0,7,7,1,1,1,5,8
"53",1,0,0,64.76666667,1,19,0,1,1,1,7,1,6,1,8
"54",0,1,0,92.06666667,0,19,1,0,7,7,1,1,1,7,8
"55",0,0,1,58.46666667,0,25,0,1,6,1,1,7,1,6,8
"56",0,1,0,83.33333333,1,20,0,1,6,6,1,3,2,4,8
"57",1,0,0,58.96666667,0,20,0,1,1,2,6,1,7,1,8
"58",0,0,1,65.12,0,20,0,0,4,1,1,7,1,7,8
"59",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
"60",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
"61",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
"62",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
"63",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
"64",NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,8
"65",NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,8
"66",NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,8
"67",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,8
