"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,1,0,92.7380952380952,1,19,0,1,4,7,1,1,2,4,11
"2",0,1,0,59.5238095238095,0,20,0,1,6,6,1,2,1,6,11
"3",1,0,0,71.3095238095238,0,21,0,1,1,1,7,2,4,1,11
"4",1,0,0,73.4523809523809,0,49,0,1,1,1,4,1,4,1,11
"5",1,0,0,85.3571428571428,0,21,0,0,1,1,6,2,5,1,11
"6",0,1,0,76.9047619047619,0,20,0,0,5,5,1,2,1,7,11
"7",0,0,1,70.9523809523809,0,22,0,1,4,1,1,7,1,7,11
"8",0,0,1,83.6904761904762,0,24,0,1,4,5,1,3,1,4,11
"9",1,0,0,80.7142857142857,1,20,0,0,1,1,5,3,7,4,11
"10",1,0,0,52.8571428571429,1,23,0,0,5,2,5,1,1,2,11
"11",0,0,1,90.1190476190476,1,19,0,0,4,1,1,7,1,7,11
"12",0,0,1,67.9761904761905,0,32,0,0,7,4,4,4,1,7,11
"13",1,0,0,67.0238095238095,0,30,0,0,1,2,6,1,7,1,11
"14",0,1,0,75.1190476190476,0,20,0,0,6,7,1,1,1,7,11
"15",0,0,1,91.6666666666667,1,19,0,0,4,4,4,7,4,5,11
"16",0,0,1,69.8809523809524,0,24,0,1,4,1,1,6,1,4,11
"17",0,1,0,82.6190476190476,1,23,0,0,2,3,2,1,5,1,11
"18",0,0,1,73.9285714285714,0,22,0,0,4,4,1,7,1,6,11
"19",1,0,0,57.1428571428571,1,24,0,0,2,1,6,2,1,1,11
"20",0,0,1,79.6428571428572,0,22,0,0,1,1,1,2,1,7,11
"21",1,0,0,72.3809523809524,0,25,0,0,1,1,7,1,7,1,11
"22",0,0,1,72.8571428571429,0,19,0,0,6,1,1,4,1,7,11
"23",0,1,0,32.9761904761905,1,22,0,0,2,4,4,1,2,4,11
"24",0,0,1,70.952380952381,1,20,0,0,4,5,3,4,1,4,11
"25",1,0,0,67.0238095238095,1,20,0,1,2,1,6,1,4,1,11
"26",0,1,0,64.1666666666667,1,19,0,1,6,5,5,3,1,6,11
"27",0,1,0,75.1190476190476,0,24,0,0,4,6,1,3,1,2,11
"28",0,0,1,66.6666666666667,0,20,0,1,4,1,1,4,1,4,11
"29",1,0,0,58.3333333333333,1,22,0,1,2,2,6,1,6,1,11
"30",0,1,0,61.547619047619,1,20,0,1,3,2,6,2,5,1,11
"31",1,0,0,79.4047619047619,0,21,0,0,1,1,7,1,7,1,11
"32",1,0,0,74.2857142857143,1,20,0,1,1,1,7,1,7,1,11
"33",1,0,0,85.2380952380952,0,22,0,0,1,1,7,6,6,1,11
"34",1,0,0,41.1904761904762,1,20,0,1,1,1,6,1,6,1,11
"35",1,0,0,66.1904761904762,1,22,0,1,2,1,6,3,3,2,11
"36",1,0,0,85.2380952380952,1,20,1,0,1,1,5,2,6,1,11
"37",0,0,1,33.0952380952381,0,19,0,0,3,1,1,4,3,1,11
"38",1,0,0,97.9761904761905,1,22,0,1,1,1,7,1,7,1,11
"39",0,1,0,78.6904761904762,1,30,0,0,4,6,1,1,1,4,11
"40",1,0,0,74.2857142857143,0,21,0,1,1,1,7,1,7,1,11
"41",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,11
