"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"76",1,0,0,65.5,0,21,FALSE,TRUE,1,1,7,1,7,1
"77",0,0,1,47.1666666666667,0,19,FALSE,TRUE,4,4,4,7,1,2
"78",1,0,0,68.8333333333333,0,22,FALSE,TRUE,2,5,4,4,6,1
"79",0,0,1,59.1666666666667,1,21,TRUE,FALSE,4,1,5,7,1,4
"80",0,1,0,40.8333333333333,1,20,FALSE,TRUE,5,5,4,1,5,5
"81",1,0,0,88.4,0,19,FALSE,TRUE,1,1,7,1,7,1
"82",0,0,1,62.1666666666667,1,19,FALSE,TRUE,4,1,1,7,1,5
"83",0,0,0,76.6,1,29,TRUE,FALSE,1,2,7,1,4,1
"84",0,1,0,79.1666666666667,0,18,FALSE,TRUE,7,7,1,4,1,7
"85",0,0,1,65.8333333333333,1,19,FALSE,TRUE,1,2,1,3,6,2
"86",1,0,0,62.5,1,22,TRUE,FALSE,1,1,4,1,7,1
"87",0,1,0,45,1,20,FALSE,TRUE,6,5,6,1,2,5
"88",0,1,0,77.8333333333333,0,20,FALSE,TRUE,6,6,1,1,1,7
"89",0,0,1,63,1,20,FALSE,TRUE,4,1,1,7,1,7
"90",0,1,0,89,1,20,FALSE,TRUE,7,5,1,1,1,7
"91",0,0,0,87.3333333333333,0,19,FALSE,FALSE,1,1,7,1,7,1
"92",1,0,0,87.6666666666667,0,46,FALSE,TRUE,1,1,6,1,7,1
"93",0,1,0,85.4,1,22,FALSE,TRUE,4,5,1,1,1,1
"94",0,0,0,69.5,1,22,FALSE,FALSE,1,5,1,1,7,1
"95",0,0,1,58,1,23,FALSE,TRUE,5,1,1,4,1,4
"96",0,0,1,43.1666666666667,1,24,FALSE,TRUE,4,1,1,3,4,5
"97",0,1,0,86.6666666666667,0,19,FALSE,TRUE,2,5,5,1,2,1
"98",1,0,0,73.6666666666667,1,22,FALSE,TRUE,1,1,5,1,7,1
"99",0,0,0,80,0,20,FALSE,FALSE,1,1,5,3,7,1
"100",0,0,1,86.3333333333333,1,19,FALSE,TRUE,5,4,1,4,1,7
"101",0,0,1,59.3333333333333,0,21,FALSE,TRUE,7,4,1,4,1,7
"102",0,0,0,57.6666666666667,1,19,FALSE,FALSE,1,1,6,1,6,1
"103",0,1,0,81.6666666666667,0,20,FALSE,TRUE,6,7,1,1,1,6
"104",1,0,0,69.8333333333333,0,18,FALSE,TRUE,1,1,7,1,7,1
"105",0,1,0,82.6666666666667,0,21,FALSE,TRUE,6,7,1,1,1,5
"106",0,1,0,81.8333333333333,0,22,FALSE,TRUE,6,7,1,4,1,2
"107",1,0,0,79.3333333333333,1,21,FALSE,TRUE,1,1,7,1,7,1
"108",0,0,1,65.8333333333333,0,21,FALSE,TRUE,5,1,1,7,1,5
"109",0,1,0,72.3333333333333,1,22,FALSE,TRUE,6,7,2,1,1,4
"110",0,0,0,72.3333333333333,1,22,FALSE,FALSE,7,7,1,1,1,7
"111",0,0,1,84.6666666666667,1,22,FALSE,TRUE,1,1,1,7,5,2
"112",0,1,0,60.1666666666667,0,20,FALSE,TRUE,3,5,1,3,1,2
"113",1,0,0,48,0,20,FALSE,TRUE,1,1,7,1,7,1
"114",1,0,0,83.5,1,23,TRUE,FALSE,1,4,7,1,7,1
"115",0,0,1,71.2,1,23,FALSE,TRUE,7,1,1,7,1,7
"116",1,0,0,67.8333333333333,1,21,FALSE,TRUE,2,6,2,2,7,1
"117",0,0,0,88,0,19,FALSE,TRUE,1,1,5,2,7,1
"118",0,1,0,92,0,19,FALSE,TRUE,1,3,1,1,6,1
"119",0,0,1,83.6666666666667,0,20,FALSE,TRUE,4,1,1,7,1,6
